title,price,type,comment_num,shop,label,img_link,detail_link
三星Galaxy Z Flip6 5G (SM-F7410) 12GB+256GB 星夜银 折叠屏手机,¥7099.00,,200+评价,苏宁自营,"以旧换新, ,赠",http://imgservice.suning.cn/uimg1/b2c/image/0gGdb35cI2t3xyiGkDXmUg.jpg_200w_200h_4e_374w_374h_4e_400w_400h_4e,https://th.suning.com/calCpcClicks?adtype=1&tid=107682855010000000620241016&cmdCode=12434084574&companyCode=0000000000&s=&k=kom%2b%2bhgMfvaHQgdXNQDt2dsjMYdGSiDjR2UHOnEWoTK1OEO0SHHhqPlaxCQ7wZnQozqabGXqZD%2f5adb5DFoZ3bBUyBfSx0rauTF%2flQBWZSxWFjIXfcBZTLx%2fc186y4Iyz%2bXoAicbfP%2b9zi2bUbqjnqNJ%2fpyndOv2l6NIbvPEcRA80gs9NHdfnMOM4f2AcNWU4ufI%2fEm6jMAdtTATklPv%2bytjLEZgDBiOF1s1lLRMYlqrt956rzx8scj0dHCSZFefWxUJf2xFSDbHanaB7i%2fxcWjDMHJpjzvcsuqvoT5Qpx8lPmtIkVEMnGutXXHtv8B0l27CiQybaagbcgRtH9ECv9%2b7v04GFEDCR0n3%2bydHIEP3vqooIvbj9fJBXNMQDctDKdqjdGhLLKsFRVe6ec3WCVc%2fKAoHkLhOhENsQHZEQYgaXw%2bSylyHjsE%2bx7%2bSPTH%2bAa2aeOCxKeUzTMEvNhd3RPHRpr9gHCGkIJ7rGOcXPuvfOgFz3xgEfvpNqZ5V7ufTSE%2fDXB74ODjdFA23vK8Hsw8MbQdq2MRBJWYuNFbf%2f1a6KmPKKw41GoFiUEybmsJhM8y389pC02L1YMnFtd89IQ%3d%3d&clickUrl=http%3a%2f%2fproduct.suning.com%2f0000000000%2f12434084574.html&click_id=H2YaVN20BrumBV4D1000000000SqZD83IM8HBvKg8
Redmi Note13 5G 1亿像素 超细四窄边OLED直屏 5000mAh大电量 8GB+128GB -子夜黑 小米手机 红米手机官方自营 售后无忧,¥999.00, 8GB |128GB |6.67英寸,7700+评价,苏宁自营,以旧换新,http://imgservice1.suning.cn/uimg1/b2c/image/6YREIGBTRlbT0Jjh3Hi01w.png_400w_400h_4e,http://product.suning.com/0000000000/12429632225.html
Redmi Note13 5G 1亿像素 超细四窄边OLED直屏 5000mAh大电量 8GB+256GB 星沙白 小米手机 -红米手机官方自营 售后无忧,¥1025.00, 8GB |256GB |6.67英寸,7700+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券880-50",http://imgservice1.suning.cn/uimg1/b2c/image/yzaUU11XpVR4yqrfOxxYgw.jpg_400w_400h_4e,http://product.suning.com/0000000000/12429632229.html
小米(mi)MIX Fold 4 16GB+512GB 龙胆蓝 小米龙骨转轴2.0 徕卡光学全焦段四摄 5G全网通 AI折叠手机 小米汽车互联超轻薄四曲面机身|小米龙骨转轴2.0|全碳纤维支撑架构|徕卡光学全明星四摄|第三代骁龙8,¥9999.00, 16GB |512GB |7.98英寸,0评价,聚三友手机数码专营店,以旧换新,http://imgservice1.suning.cn/uimg1/b2c/image/LYMFzyP8Zdy0VUjsTAJuqg.png_400w_400h_4e,http://product.suning.com/0071593536/12435374164.html
[全新]小米Redmi K50 12GB+256GB 幻镜 天玑8100性能芯 67W快充 双扬声器 支持NFC 时尚游戏拍照智能手机,¥1879.00,,10+评价,讯天国际手机专营店,"以旧换新, ,晚发赔, ,领券1699-6, ,赠",http://imgservice.suning.cn/uimg1/b2c/image/Rd-Q9cMOT6jUZE9HWfLAjg.jpg_200w_200h_4e_374w_374h_4e_400w_400h_4e,https://th.suning.com/calCpcClicks?adtype=1&tid=107662346210000000620241016&cmdCode=12426972182&companyCode=70073500&s=&k=kom%2b%2bhgMfvaHQgdXNQDt2dsjMYdGSiDjR2UHOnEWoTLvvcBvd9bWfIvssrLPJh6iutXxUJzG6Cp2e6F6VnHMi7SLrpiln8v2R0814IQvZqgdUAA4vC6s5tcEe93rM%2b2H6iakJ3DC%2fUyZXElby4ZduIr2SfNTjfsqXufB7yBXkf%2fJY7dw7%2bJMMZiIVu6TtoMlDGAXbY%2f07YlFV0B59dDzHM8C4wGrf0m6IgdyhKw4j9UWaQv4X9wQfDCWR%2f14KRsXULgsEihS%2f%2fz7h%2fCMAzU8qfZeL5%2bmpNoBVDU8x7Dr5eTXSP27KWIL3FBiuuBgfYGV%2btTE6N4QDuSuoXcIhYmJwBVi5p6wUpQ9LnPkJyILXewUG2kPN8VZ0D6pxeQl1BLAB7LOAb45ZQUQcDRRFuzBVHyN4nc22U%2fcK51NxH6NtGWzSudBWK95iXwR9icxiAeFMKUSyS6dVbZkDeLFiBdEf3ybathVjSdisj4ZkLzkO9lHbcDX47jfxk5Nt9qhvCrKaA3cwvyScp41mssToZkThH7tBvT7DL4D75x24xtm0W676iI8%2blrqoC2DUwlIZeU7XpWU3twiOnNAq3biqk0ZtOXD0f6O20RCVys9TmL3QW0%3d&clickUrl=http%3a%2f%2fproduct.suning.com%2f0070073500%2f12426972182.html&click_id=H2YaVN20BrumBUeL1000000000MxCRULAmie3ZEg8
iQOO Z9 Turbo 星芒白 12GB+256GB 全网通5G手机第三代骁龙8s|5000万像素|6000mAh,¥1819.00, 12GB |256GB |6.78英寸,1100+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券1500-120",http://imgservice2.suning.cn/uimg1/b2c/image/M355VR3hT5iODUBYbvTKNw.png_400w_400h_4e,http://product.suning.com/0000000000/12430728561.html
小米14 徕卡光学镜头 光影猎人900 徕卡75mm浮动长焦 骁龙8Gen3 16+512 黑色 小米手机 红米手机 5G徕卡75mm浮动长焦 第三代骁龙8,¥4159.00, 16GB |512GB |6.36英寸,100+评价,苏宁自营,"大聚惠, ,以旧换新, ,12期免息, ,领券3000-220",http://imgservice3.suning.cn/uimg1/b2c/image/QHv0pW7aw-4xNEExMqRFDA.png_400w_400h_4e,http://product.suning.com/0000000000/12422476400.html
华为/HUAWEI Pura 70 Pro+ 16GB+512GB 魅影黑 超高速风驰闪拍 超聚光微距长焦 双卫星通信 华为P70智能旗舰手机超高速风驰闪拍 | 超聚光微距长焦 | 双卫星通信,¥6999.00, 16GB |512GB |6.8英寸,800+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券6699-400",http://imgservice5.suning.cn/uimg1/b2c/image/OKWdXUve8LbFavA0GM7Ecg.jpg_400w_400h_4e,http://product.suning.com/0000000000/12431535394.html
vivo iQOO Neo9 红白魂 16GB+256GB 第二代骁龙8旗舰芯 自研电竞芯片Q1 IMX920 索尼大底主摄 5G手机,¥2489.00,,60+评价,讯天国际手机专营店,"以旧换新, ,晚发赔, ,领券1699-6, ,赠",http://imgservice.suning.cn/uimg1/b2c/image/7u6Pq8utjkSLgq_sBGJyNA.jpg_200w_200h_4e_374w_374h_4e_400w_400h_4e,https://th.suning.com/calCpcClicks?adtype=1&tid=107665351810000000620241016&cmdCode=12425221069&companyCode=70073500&s=&k=kom%2b%2bhgMfvaHQgdXNQDt2dsjMYdGSiDjR2UHOnEWoTJuea0xM75S4fxIOqkc1wMDPbRxldl7uHthOF6tuS2sFomIqf2dDF1BaCq%2f%2bwrreARvQziWinvhzAUQn5AafNrhADzl9RitoEY%2bTvrfsjLY3j6lOJ9pgzSfkbB7tHM6okGkS50s8rdQsre0%2fe2uCNwQvvfg8%2bpNvblTBOfmhYwr8Dbn3j1rJfeMMqUKo3GsLVk0OPm%2fIT0mIBu982CgMyRIm5%2bJaIe4x5pV0kOVpD2cimFJ%2blsLknwsdNuR0CYkr5oKNztZOhcg7DgjMMgMrcrfPc0%2fumDmqtmdtxKvQmW3Gk1WuYhuACXeWhV81JYgMas84JhCf9rauJt80VTTJuKphKI5q36a%2fb4XPbIuNk%2f%2b4Zm5Opw%2fZjLFQ56SgRWd6zUMyugr0iqQtkAUFFc1veqaiB%2bEHiINCm8zhLg0pEqiVUZJmH0OgV3B97jJ3c7hAkd6%2f7cmPOBuQE8rHrxURsBKIJrHAgLE%2b4oL8Cmgqhb67Z2gjHq3W9YYh9we7KOjudpA795D5y%2bwR2UDBu3NzCoENliOJCXyBgm2pmLkkZ3JxNsrdLZmxSaL3nyvUhE6RLY%3d&clickUrl=http%3a%2f%2fproduct.suning.com%2f0070073500%2f12425221069.html&click_id=H2YaVN20BrumBmBH1000000000mAjHDPAfojoUFg8
荣耀Play8T 12GB+256GB 幻夜黑 850nit高亮超清显示 6000mAh超能电池 35W超级快充 5000万像素超清影像 2倍大音量 5G手机850nit高亮超清显示 6000mAh超能电池 5000万像素超清影像,¥1249.00, 12GB |256GB |6.801英寸,3400+评价,苏宁自营,"大聚惠, ,以旧换新, ,领券880-50",http://imgservice1.suning.cn/uimg1/b2c/image/vsunSLqjAPVXTxqFLzgIMA.jpg_400w_400h_4e,http://product.suning.com/0000000000/12421926512.html
